"id","presente","id_vereador","id_sessao","timestamp"
3575,true,40,175,2019-11-26 23:17:20
3576,true,40,176,2019-11-26 23:17:20
3577,true,40,177,2019-11-26 23:17:20
3578,true,40,178,2019-11-26 23:17:20
3579,true,40,179,2019-11-26 23:17:20
3580,true,40,180,2019-11-26 23:17:20
3581,true,40,181,2019-11-26 23:17:21
3582,true,40,182,2019-11-26 23:17:21
3583,true,40,183,2019-11-26 23:17:21
3584,true,40,184,2019-11-26 23:17:21
3585,true,40,185,2019-11-26 23:17:21
3586,true,40,186,2019-11-26 23:17:21
3587,true,40,187,2019-11-26 23:17:21
3588,true,40,188,2019-11-26 23:17:21
3589,true,40,189,2019-11-26 23:17:21
3590,true,40,190,2019-11-26 23:17:21
3591,true,40,191,2019-11-26 23:17:21
3592,true,40,192,2019-11-26 23:17:21
3593,true,40,193,2019-11-26 23:17:21
3594,true,40,194,2019-11-26 23:17:21
3595,true,41,1,2019-11-26 23:17:21
3596,true,41,4,2019-11-26 23:17:21
3597,true,41,5,2019-11-26 23:17:21
3598,true,41,7,2019-11-26 23:17:21
3599,true,41,8,2019-11-26 23:17:21
3600,true,41,9,2019-11-26 23:17:21
3601,true,41,10,2019-11-26 23:17:21
3602,true,41,11,2019-11-26 23:17:21
3603,true,41,13,2019-11-26 23:17:21
3604,true,41,15,2019-11-26 23:17:21
3605,true,41,16,2019-11-26 23:17:21
3606,true,41,17,2019-11-26 23:17:21
3607,true,41,18,2019-11-26 23:17:21
3608,true,41,20,2019-11-26 23:17:21
3609,true,41,21,2019-11-26 23:17:21
3610,true,41,22,2019-11-26 23:17:21
3611,true,41,23,2019-11-26 23:17:21
3612,true,41,25,2019-11-26 23:17:21
3613,true,41,26,2019-11-26 23:17:21
3614,true,41,27,2019-11-26 23:17:21
3615,true,41,28,2019-11-26 23:17:21
3616,true,41,29,2019-11-26 23:17:21
3617,true,41,31,2019-11-26 23:17:21
3618,true,41,33,2019-11-26 23:17:21
3619,true,41,34,2019-11-26 23:17:21
3620,true,41,35,2019-11-26 23:17:21
3621,true,41,36,2019-11-26 23:17:21
3622,true,41,37,2019-11-26 23:17:21
3623,true,41,38,2019-11-26 23:17:21
3624,true,41,39,2019-11-26 23:17:21
3625,true,41,43,2019-11-26 23:17:21
3626,true,41,45,2019-11-26 23:17:21
3627,true,41,46,2019-11-26 23:17:21
3628,true,41,47,2019-11-26 23:17:22
3629,true,41,48,2019-11-26 23:17:22
3630,true,41,49,2019-11-26 23:17:22
3631,true,41,50,2019-11-26 23:17:22
3632,true,41,58,2019-11-26 23:17:22
3633,true,41,59,2019-11-26 23:17:22
3634,true,41,60,2019-11-26 23:17:22
3635,true,41,61,2019-11-26 23:17:22
3636,true,41,62,2019-11-26 23:17:22
3637,true,41,63,2019-11-26 23:17:22
3638,true,41,65,2019-11-26 23:17:22
3639,true,41,90,2019-11-26 23:17:22
3640,true,41,66,2019-11-26 23:17:22
3641,true,41,67,2019-11-26 23:17:22
3642,true,41,70,2019-11-26 23:17:22
3643,true,41,71,2019-11-26 23:17:22
3644,true,41,74,2019-11-26 23:17:22
3645,true,41,75,2019-11-26 23:17:22
3646,true,41,76,2019-11-26 23:17:22
3647,true,41,77,2019-11-26 23:17:22
3648,true,41,78,2019-11-26 23:17:22
3649,true,41,79,2019-11-26 23:17:22
3650,true,41,80,2019-11-26 23:17:22
3651,true,41,82,2019-11-26 23:17:22
3652,true,41,83,2019-11-26 23:17:22
3653,true,41,84,2019-11-26 23:17:22
3654,true,41,85,2019-11-26 23:17:22
3655,true,41,87,2019-11-26 23:17:22
3656,true,41,88,2019-11-26 23:17:22
3657,true,41,89,2019-11-26 23:17:22
3658,true,41,91,2019-11-26 23:17:22
3659,true,41,92,2019-11-26 23:17:22
3660,true,41,93,2019-11-26 23:17:22
3661,true,41,96,2019-11-26 23:17:22
3662,true,41,97,2019-11-26 23:17:22
3663,true,41,98,2019-11-26 23:17:22
3664,true,41,99,2019-11-26 23:17:22
3665,true,41,100,2019-11-26 23:17:22
3666,true,41,101,2019-11-26 23:17:22
3667,true,41,102,2019-11-26 23:17:22
3668,true,41,103,2019-11-26 23:17:22
3669,true,41,104,2019-11-26 23:17:22
3670,true,41,105,2019-11-26 23:17:22
3671,true,41,106,2019-11-26 23:17:22
3672,true,41,107,2019-11-26 23:17:22
3673,true,41,108,2019-11-26 23:17:22
3674,true,41,113,2019-11-26 23:17:22
3675,true,41,114,2019-11-26 23:17:22
3676,true,42,2,2019-11-26 23:17:22
3677,true,42,3,2019-11-26 23:17:22
3678,true,42,4,2019-11-26 23:17:22
3679,true,42,5,2019-11-26 23:17:22
3680,true,42,7,2019-11-26 23:17:22
3681,true,42,9,2019-11-26 23:17:22
3682,true,42,10,2019-11-26 23:17:22
3683,true,42,11,2019-11-26 23:17:23
3684,true,42,13,2019-11-26 23:17:23
