"id","vereador","total_vantagens","descontos_totais","valor_liquido","data","timestamp","id_vereador"
567,RODRIGO B COUTINHO DE MELO,14635,2978.62,11656.38,"2019/06",2019-11-23 12:25:43,19
605,RODRIGO B COUTINHO DE MELO,14635,2978.62,11656.38,"2019/08",2019-11-23 12:25:44,19
577,AMARO CIPRIANO DE LIMA,14635,2978.62,11656.38,"2019/08",2019-11-23 12:25:43,20
615,AMARO CIPRIANO DE LIMA,14635,2978.62,11656.38,"2019/03",2019-11-23 12:25:44,20
623,DAVI BERNARDO MUNIZ,14635,2874.35,11760.65,"2019/03",2019-11-23 12:25:44,21
588,FRANCISCO FERREIRA DA S FILHO,14635,2851.82,11783.18,"2019/08",2019-11-23 12:25:43,22
632,JAIRO XAVIER DE BRITTO,14635,2978.62,11656.38,"2019/03",2019-11-23 12:25:44,23
568,ROGERIO LIMA DE LUCCA,14635,3103.13,11531.87,"2019/06",2019-11-23 12:25:43,24
606,ROGERIO LIMA DE LUCCA,14635,3103.13,11531.87,"2019/08",2019-11-23 12:25:44,24
564,RAFAEL ACIOLI MEDEIROS,14635,2978.62,11656.38,"2019/06",2019-11-23 12:25:43,25
602,RAFAEL ACIOLI MEDEIROS,14635,2978.62,11656.38,"2019/08",2019-11-23 12:25:44,25
562,NATALIA R COUTO BARBOSA,14635,2978.62,11656.38,"2019/06",2019-11-23 12:25:43,26
600,NATALIA R COUTO BARBOSA,14635,2978.62,11656.38,"2019/08",2019-11-23 12:25:44,26
638,NATALIA R COUTO BARBOSA,14635,2978.62,11656.38,"2019/03",2019-11-23 12:25:44,26
563,PAULO RENATO A GUIMARAES,14635,2620.77,12014.23,"2019/06",2019-11-23 12:25:43,27
601,PAULO RENATO A GUIMARAES,14635,2620.77,12014.23,"2019/08",2019-11-23 12:25:44,27
639,PAULO RENATO A GUIMARAES,14635,2620.77,12014.23,"2019/03",2019-11-23 12:25:44,27
589,FREDERICO M DE M S FERREIRA,14635,2822.21,11812.79,"2019/08",2019-11-23 12:25:43,29
570,SAMUEL R DOS SANTOS SALAZAR,14635,2978.62,11656.38,"2019/06",2019-11-23 12:25:43,7
